has_insurance,age_group,gender,has_dependent,income,family_history,disease,진료비 총합,급여부분 총합,공단 부담금(급여),민영의료보험 보장금(급여 + 비급여),입원시 급여,입원시 비급여,평균 통원 일일 비용,통원비,본인부담금 총합,급여부분 본인부담 총합,급여부분 본인부담 입원 총합,급여부분 본인부담 통원 총합,비급여부분 본인부담 총합,비급여부분 본인부담 입원 총합,비급여부분본인부담 통원 총합,보험금 수령후 본인부담금,보건의료용 건강기능식품 교통비 가족간병비,생애주기 사망확률,가족력(부모),가족력(형제자매),가족력(전체),가족력 및 건강상태 반영한 질병보장 적정 구성비,일반병원 치료일수,입원치료일수,통원치료일수,요양 치료일수,개인소득 부양가족 무,가구소득 부양가족 유,국민건강보험 민영의료보험 적용 안되는 본인 부담 치료비,일반병원 치료기간생활비,요양병원 치료기간생활비,진단비 필요금액,보건분야 소비자물가지수,생활비 상승률,보건 물가 상승률 반영 진단비 필요금액,,생애주기중 진단비 최고값,,세대주 생활비,월보험료,납기,갱신/비갱신,적정 월납보험료,,월급대비 건강보험료 장기요양보험료,"DB손보기준 
15세 
20세 
30세 
40세 
50세 
60세",users_reg,min_coverage,avg_coverage,max_coverage,mdn_coverage
1,30,2,1,,,1,5252844,3477383,3124449,1916416,172479,771260,8133,972677,2128395,352934,191643,161291,1775461,964076,811386,211979,286000,15.93,39.83,39.83,55.76,1,184,64,120,,2685000,,497979,16468000,13569990,30535969,634236,69455885,70090120,45090120,,,55077916,,20,비갱신,,,근로자,9686,253017,0,27425027.48,370341000,25000000
1,30,2,1,,,2,1233573,816625,669632,510678,71835,181122,79299,257721,563941,146993,79817,67176,416948,226402,190545,53262,286000,0.00,0.00,0.00,0.00,-,5,2,3,,일변환,,339262,447500,,786762,432090,1034740,1466830,-2533170,,,30122730,,20,비갱신,,,94090,,101886,0,5365879.319,50000000,4000000
1,30,2,1,,,3,10806175,7153688,6038702,4310269,544894,1586640,93108,2178735,4767473,1114986,605437,509549,3652487,1983301,1669187,457204,286000,8.64,11.17,13.56,13.56,3,36,13,23,,89500,,743204,3222000,13569990,17535194,946558,38827582,39774140,19774140,,,34821032,,20,비갱신,,,사업주,,135642,0,20807954.59,200000000,20000000
1,30,2,1,,,4,3245420,2148468,1656897,1442702,240231,476516,93071,725955,1588523,491571,266923,224648,1096952,595645,501307,145821,286000,8.64,11.17,13.56,13.56,3,12,4,8,,,,431821,1074000,13569990,15075811,549975,33860830,34410806,14410806,,,31184983,,20,비갱신,,,94090,,198724,10000,18385758.65,370341000,20000000
1,30,2,1,,,5,2536489,1679156,1410813,1017999,131139,372426,79144,514434,1125676,268343,145710,122633,857333,465532,391801,107677,286000,8.64,11.17,13.56,13.56,3,10,4,7,,,,393677,895000,13569990,14858667,501395,33446934,33948329,23948329,,,30869784,,20,비갱신,,,,,97248,100000,11145732.13,100000000,10000000
1,30,2,1,,,6,3563653,2359138,2101151,1299319,126078,523241,257063,650000,1462502,257987,140087,117900,1204515,654051,550463,163182,286000,13.12,19.68,19.68,19.68,2,4,1,3,,,,449182,358000,13569990,14377172,572087,32205246,32777333,12777333,,,30094122,,20,비갱신,,,,,233336,0,20874695.43,370341000,20000000
1,30,2,1,,,7,521202,345036,252013,245007,45460,76527,94630,123020,269189,93023,50511,42512,176166,95658,80508,24183,286000,13.12,19.68,19.68,19.68,2,2,1,1,,,,310183,179000,,489183,395054,413896,808950,-9191050,,,29678067,,20,비갱신,,,,,94310,100000,11752710.42,65000000,10000000
1,40,1,1,,,1,8973772,5940637,5441383,3175881,243985,1317594,14111,1614302,3532389,499254,271095,228159,3033135,1646992,1386143,356508,286000,26.64,66.60,66.60,93.24,1,176,62,114,,4415500,7107000,642508,25904267,22315937,48862712,769910,88520440,89290350,69290350,,,66664643,,20,비갱신,353240,568560,근로자,13369,241568,0,24708027.32,500000000,20000000
1,40,1,1,,,2,1281894,848614,695863,530683,74649,188217,103006,267816,586031,152751,82944,69807,433280,235271,198009,55349,286000,0.00,0.00,0.00,0.00,-,4,1,3,,일변환,40대 가구주,341349,588733,,930082,409034,1080770,1489804,-2510196,,,36944294,,20,비갱신,,,154750,,90979,0,4691891.81,50000000,4000000
1,40,1,1,,,3,12374456,8191890,6783138,5060596,688457,1816907,91422,2555232,5591318,1408752,764952,643800,4182566,2271133,1911433,530722,286000,7.12,9.21,11.18,11.18,3,43,15,28,,147183,가구원수,816722,6328883,22315937,29461542,978668,52584848,53563516,33563516,,,44090297,,20,비갱신,,,사업주,,132341,0,20996736.52,220000000,20000000
1,40,1,1,,,4,2789953,1846949,1410970,1252899,213063,409641,80794,630195,1378983,435979,236737,199242,943004,512051,430953,126084,286000,7.12,9.21,11.18,11.18,3,12,4,8,,,4,412084,1766200,22315937,24494221,493795,44208883,44702679,28702679,,,38383364,,20,비갱신,,,154750,,163774,0,17656565.96,500000000,16000000
1,40,1,1,,,5,2142577,1418386,1089832,956257,160564,314589,43539,481104,1052745,328554,178405,150149,724191,393236,330955,96488,286000,7.12,9.21,11.18,11.18,3,17,6,11,,,일변환,382488,2502117,22315937,25200541,458330,45559846,46018176,36018176,,,39208976,,20,비갱신,,,,,44774,100000,10483322.56,100000000,10000000
1,40,1,1,,,6,4620779,3058956,2761283,1636429,145473,678456,261474,812500,1859496,297673,161636,136037,1561823,848070,713753,223068,286000,10.27,15.41,15.41,15.41,2,5,2,3,,,236900,509068,735917,22315937,23560921,610010,42317537,42927546,22927546,,,37283055,,20,비갱신,,,,,216814,0,20321366.29,500000000,20000000
1,40,1,1,,,7,1446571,957630,815268,570474,69572,212396,147952,288505,631303,142362,77303,65059,488941,265495,223446,60829,286000,10.27,15.41,15.41,15.41,2,3,1,2,,,,346829,441550,,788379,415601,810577,1226179,-8773821,,,36778733,,20,비갱신,,,,,41372,100000,10035376.78,60000000,10000000
1,40,2,1,,,1,6479503,4289431,3859733,2358596,209993,951367,8043,1197235,2619770,429698,233326,196372,2190072,1189209,1000863,261174,286000,15.82,39.55,39.55,55.37,1,229,80,149,,2520000,,547174,19236000,12736080,32519254,670830,63891319,64562150,44562150,,,75634525,,20,비갱신,,,근로자,13369,204982,0,25887976.39,888888000,20000000
1,40,2,1,,,2,1267221,838900,687898,524608,73795,186062,81462,264750,579323,151002,81994,69008,428321,232578,195742,54715,286000,0.00,0.00,0.00,0.00,-,5,2,3,,일변환,,340715,420000,,760715,417713,839306,1257019,-2742981,,,37114702,,20,비갱신,,,88310,,92816,0,4804213.674,50000000,4000000
1,40,2,1,,,3,11753234,7780641,6467178,4783311,641889,1725694,90646,2415728,5286056,1313463,713210,600253,3972593,2157118,1815475,502745,286000,8.68,11.22,13.63,13.63,3,41,14,27,,84000,,788745,3444000,12736080,16968825,966993,32333419,33300412,13300412,,,43720236,,20,비갱신,,,사업주,,123201,0,20241605.92,264000000,20000000
1,40,2,1,,,4,2653017,1756297,1340461,1192592,203219,389535,83893,599838,1312556,415836,225799,190037,896720,486919,409801,119964,286000,8.68,11.22,13.63,13.63,3,11,4,7,,,,405964,924000,12736080,14066044,497707,27297584,27795291,11795291,,,38206201,,20,비갱신,,,88310,,152993,10000,18560186.68,888888000,16000000
1,40,2,1,,,5,2368095,1567679,1299431,967173,131093,347701,68305,488380,1068664,268248,145659,122589,800416,434626,365790,101491,286000,8.68,11.22,13.63,13.63,3,11,4,7,,,,387491,924000,12736080,14047571,475060,27297584,27772644,17772644,,,38187729,,20,비갱신,,,,,60824,100000,11287591.73,100000000,10000000
